===================================================
Source: Omega Cen
Columns: Radius (km) - Mass (Msolar) - Posterior Likelihood
Date: February 2016
Cite: Ozel, F., et al. 2016, ApJ in press, arXiv:1505.05155
===================================================
6.125000e+00 2.837500e+00 5.976543e-29
6.125000e+00 2.862500e+00 6.194364e-30
6.125000e+00 2.887500e+00 6.168057e-31
6.125000e+00 2.912500e+00 5.911380e-32
6.125000e+00 2.937500e+00 5.464900e-33
6.125000e+00 2.962500e+00 4.887462e-34
6.375000e+00 5.125000e-01 7.964807e-06
6.375000e+00 5.375000e-01 9.587795e-06
6.375000e+00 5.625000e-01 1.124960e-05
6.375000e+00 5.875000e-01 1.294363e-05
6.375000e+00 6.125000e-01 1.469181e-05
6.375000e+00 6.375000e-01 1.654070e-05
6.375000e+00 6.625000e-01 1.855352e-05
6.375000e+00 6.875000e-01 2.080201e-05
6.375000e+00 7.125000e-01 2.336207e-05
6.375000e+00 7.375000e-01 2.631450e-05
6.375000e+00 7.625000e-01 2.974957e-05
6.375000e+00 7.875000e-01 3.377274e-05
6.375000e+00 8.125000e-01 3.850835e-05
6.375000e+00 8.375000e-01 4.410001e-05
6.375000e+00 8.625000e-01 5.070797e-05
6.375000e+00 8.875000e-01 5.850523e-05
6.375000e+00 9.125000e-01 6.767385e-05
6.375000e+00 9.375000e-01 7.840045e-05
6.375000e+00 9.625000e-01 9.086858e-05
6.375000e+00 9.875000e-01 1.052438e-04
6.375000e+00 1.012500e+00 1.216491e-04
6.375000e+00 1.037500e+00 1.401325e-04
6.375000e+00 1.062500e+00 1.606324e-04
6.375000e+00 1.087500e+00 1.829497e-04
6.375000e+00 1.112500e+00 2.067346e-04
6.375000e+00 1.137500e+00 2.314932e-04
6.375000e+00 1.162500e+00 2.566102e-04
6.375000e+00 1.187500e+00 2.813817e-04
6.375000e+00 1.212500e+00 3.050476e-04
6.375000e+00 1.237500e+00 3.268175e-04
6.375000e+00 1.262500e+00 3.458919e-04
6.375000e+00 1.287500e+00 3.614814e-04
6.375000e+00 1.312500e+00 3.728354e-04
6.375000e+00 1.337500e+00 3.792850e-04
6.375000e+00 1.362500e+00 3.803015e-04
6.375000e+00 1.387500e+00 3.755619e-04
6.375000e+00 1.412500e+00 3.650092e-04
6.375000e+00 1.437500e+00 3.488890e-04
6.375000e+00 1.462500e+00 3.277538e-04
6.375000e+00 1.487500e+00 3.024282e-04
6.375000e+00 1.512500e+00 2.739433e-04
6.375000e+00 1.537500e+00 2.434509e-04
6.375000e+00 1.562500e+00 2.121316e-04
6.375000e+00 1.587500e+00 1.811109e-04
6.375000e+00 1.612500e+00 1.513893e-04
6.375000e+00 1.637500e+00 1.237908e-04
6.375000e+00 1.662500e+00 9.892983e-05
6.375000e+00 1.687500e+00 7.719644e-05
6.375000e+00 1.712500e+00 5.875923e-05
6.375000e+00 1.737500e+00 4.358551e-05
6.375000e+00 1.762500e+00 3.147579e-05
6.375000e+00 1.787500e+00 2.210886e-05
6.375000e+00 1.812500e+00 1.509027e-05
6.375000e+00 1.837500e+00 9.998940e-06
6.375000e+00 1.862500e+00 6.425762e-06
6.375000e+00 1.887500e+00 4.001354e-06
6.375000e+00 1.912500e+00 2.412283e-06
6.375000e+00 1.937500e+00 1.406883e-06
6.375000e+00 1.962500e+00 7.932895e-07
6.375000e+00 1.987500e+00 4.322760e-07
6.375000e+00 2.012500e+00 2.275810e-07
6.375000e+00 2.037500e+00 1.157487e-07
6.375000e+00 2.062500e+00 5.687060e-08
6.375000e+00 2.087500e+00 2.699198e-08
6.375000e+00 2.112500e+00 1.237316e-08
6.375000e+00 2.137500e+00 5.475578e-09
6.375000e+00 2.162500e+00 2.337529e-09
6.375000e+00 2.187500e+00 9.615443e-10
